system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
0,1590,1274,1140,977,0.13194136321544647,955,698,-7.305338538319927,72.38061037758625,"{""type"":""Point"",""coordinates"":[72.38063659631389,-7.305317212050705]}"
2,2092,1614,1294,1080,0.19821825623512268,1101,821,-7.2919221263388785,72.41144013520086,"{""type"":""Point"",""coordinates"":[72.41147124948338,-7.291902466439484]}"
10,1504,1183,1062,872,0.15133820474147797,859,631,-7.3064099244244085,72.38224644101064,"{""type"":""Point"",""coordinates"":[72.3822645797805,-7.306376494361725]}"
14,1756,1414,1269,1069,0.1389448195695877,1081,802,-7.27876621559299,72.41966063745211,"{""type"":""Point"",""coordinates"":[72.41965064787304,-7.278762792735771]}"
15,3340,3052,2783,2982,0.01160092807424594,2254,1303,-7.2869322078226295,72.37848238583753,"{""type"":""Point"",""coordinates"":[72.37844137998617,-7.286913817443744]}"
18,1795,1426,1299,1103,0.1277184635400772,1097,819,-7.283067318977889,72.43597167253292,"{""type"":""Point"",""coordinates"":[72.43599390664346,-7.283061890623814]}"
19,3017,2753,2729,2363,0.07623142749071121,2208,1681,-7.293467397216758,72.42203317991277,"{""type"":""Point"",""coordinates"":[72.4220764105749,-7.293463767283009]}"
25,1604,1319,1172,964,0.15549714863300323,937,678,-7.307469752910195,72.38541998046493,"{""type"":""Point"",""coordinates"":[72.38541734040828,-7.307475166008451]}"
26,1819,1456,1208,970,0.2003297656774521,1035,780,-7.303999168392871,72.43830200805088,"{""type"":""Point"",""coordinates"":[72.4383433338656,-7.304038722869171]}"
27,1323,1016,863,623,0.23978035151958466,713,570,-7.277419709622115,72.40662766787575,"{""type"":""Point"",""coordinates"":[72.40661531128436,-7.277450938346338]}"
30,1642,1375,1221,1016,0.15014638226683397,957,687,-7.298890416981077,72.37341685522361,"{""type"":""Point"",""coordinates"":[72.37341588433925,-7.298880214905205]}"
34,1495,1228,1110,889,0.1601322591304779,948,717,-7.306936107101189,72.38433062639359,"{""type"":""Point"",""coordinates"":[72.38431142613102,-7.306894410172699]}"
37,2014,1563,1245,1073,0.18588770925998688,1018,749,-7.2934535214892104,72.3999658917156,"{""type"":""Point"",""coordinates"":[72.40000739156552,-7.293430455749643]}"
