system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
0,1586,1281,1151,935,0.15613718330860138,866,664,-7.305345157664321,72.3806582527094,"{""type"":""Point"",""coordinates"":[72.38063659631389,-7.305317212050705]}"
2,2122,1640,1323,1095,0.19926874339580536,1084,808,-7.291877636434832,72.41150806734878,"{""type"":""Point"",""coordinates"":[72.41147124948338,-7.291902466439484]}"
10,1516,1201,1067,873,0.15814851224422455,857,641,-7.306348614542862,72.38228151537376,"{""type"":""Point"",""coordinates"":[72.3822645797805,-7.306376494361725]}"
12,1746,1393,1243,1054,0.13853698406211687,1003,730,-7.313324210747221,72.36975089294181,"{""type"":""Point"",""coordinates"":[72.3697953732999,-7.3133068419558755]}"
14,1752,1417,1260,1048,0.1496957391500473,1077,801,-7.278730247628689,72.41963831079144,"{""type"":""Point"",""coordinates"":[72.41965064787304,-7.278762792735771]}"
15,3300,3018,2749,2949,0.011563599798893917,2204,1268,-7.286897393455123,72.3784125418125,"{""type"":""Point"",""coordinates"":[72.37844137998617,-7.286913817443744]}"
18,1790,1415,1299,1099,0.1256961077451706,1083,822,-7.283070610831752,72.43599481966085,"{""type"":""Point"",""coordinates"":[72.43599390664346,-7.283061890623814]}"
19,2931,2603,2575,2237,0.07561983168125153,2287,1721,-7.293474408541586,72.42208808635264,"{""type"":""Point"",""coordinates"":[72.4220764105749,-7.293463767283009]}"
25,1598,1307,1157,954,0.15612560510635376,991,724,-7.307451356861887,72.3854428196535,"{""type"":""Point"",""coordinates"":[72.38541734040828,-7.307475166008451]}"
26,1853,1486,1212,1010,0.19070513546466827,1026,774,-7.304049718459875,72.43831912467351,"{""type"":""Point"",""coordinates"":[72.4383433338656,-7.304038722869171]}"
27,1336,1014,817,631,0.23282675445079803,640,490,-7.27748101128582,72.40661309715779,"{""type"":""Point"",""coordinates"":[72.40661531128436,-7.277450938346338]}"
30,1652,1416,1281,1062,0.14285714285714285,938,664,-7.29888728694156,72.37345551953968,"{""type"":""Point"",""coordinates"":[72.37341588433925,-7.298880214905205]}"
34,1634,1311,1159,887,0.19290263950824738,932,732,-7.306902350723453,72.38426942964388,"{""type"":""Point"",""coordinates"":[72.38431142613102,-7.306894410172699]}"
37,2032,1569,1237,1052,0.19725295901298523,1053,775,-7.293438203406131,72.40000494072554,"{""type"":""Point"",""coordinates"":[72.40000739156552,-7.293430455749643]}"
40,1960,1521,1234,1023,0.19575472176074982,988,736,-7.2893131492149115,72.40554950271351,"{""type"":""Point"",""coordinates"":[72.40559447276803,-7.289329283144756]}"
42,1924,1518,1306,1083,0.1672433614730835,1122,824,-7.295972571208071,72.4323010938718,"{""type"":""Point"",""coordinates"":[72.43230030086958,-7.295970358177805]}"
43,1737,1421,1246,1040,0.15481512248516083,1075,794,-7.283170209578422,72.4376233480759,"{""type"":""Point"",""coordinates"":[72.43761286723661,-7.28315645073755]}"
