system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
5,970,632,387,499,0.11759504675865173,177,91,38.61544130467538,-28.66957125823463,"{""type"":""Point"",""coordinates"":[-28.669547774251516,38.6154211155287]}"
8,2140,1724,1628,1536,0.05766871199011803,869,475,38.59853491713021,-28.73531976547315,"{""type"":""Point"",""coordinates"":[-28.7352844840581,38.59850592309241]}"
21,1836,1383,1235,1317,0.024444444105029106,640,306,38.60218213803402,-28.72633585673922,"{""type"":""Point"",""coordinates"":[-28.72635696518354,38.60220644606849]}"
36,5349,4672,4999,4655,0.0018226653337478638,2843,1587,38.59365158801531,-28.742550561260018,"{""type"":""Point"",""coordinates"":[-28.74254970015576,38.5936114358935]}"
57,3618,3423,3688,3344,0.011674301698803902,2394,1541,38.59897342942098,-28.73004827331115,"{""type"":""Point"",""coordinates"":[-28.73003669175526,38.59895919326676]}"
83,1806,1379,1131,1367,0.004369992762804031,610,290,38.59968038365335,-28.737069779711504,"{""type"":""Point"",""coordinates"":[-28.73702478007225,38.59971939016142]}"
87,2451,1800,1527,1796,0.0011123470030725002,747,333,38.60567278175982,-28.709538304250653,"{""type"":""Point"",""coordinates"":[-28.709482263680922,38.60564798488559]}"
96,2203,1793,1653,1764,0.008152937516570091,889,415,38.60592456047424,-28.710807504862778,"{""type"":""Point"",""coordinates"":[-28.71077393142707,38.60589514620632]}"
105,927,554,304,491,0.06028708070516586,84,30,38.61448758911263,-28.679541338332307,"{""type"":""Point"",""coordinates"":[-28.679515441230127,38.61444959836101]}"
106,4354,3736,3764,3657,0.010685783810913563,1439,594,38.581735923039204,-28.725731348662602,"{""type"":""Point"",""coordinates"":[-28.725750649832175,38.58169722039319]}"
125,1872,1423,1204,1399,0.008504606783390045,731,377,38.5995954177883,-28.736723246601144,"{""type"":""Point"",""coordinates"":[-28.736765004637707,38.59959818301971]}"
189,3088,2520,2272,2462,0.01164191123098135,1494,933,38.61243209250548,-28.721757890042042,"{""type"":""Point"",""coordinates"":[-28.721744598941875,38.612435699565545]}"
191,3966,3408,3514,3401,0.001028051134198904,2282,1372,38.6000119009065,-28.732943932988913,"{""type"":""Point"",""coordinates"":[-28.73292714652404,38.59999202398876]}"
203,2827,2268,2183,2075,0.04443932697176933,989,426,38.60099586585807,-28.727340905709074,"{""type"":""Point"",""coordinates"":[-28.727379960326974,38.60097772995385]}"
215,4253,3666,3684,3663,4.093327734153718E-4,1162,446,38.5826485588639,-28.724949585868004,"{""type"":""Point"",""coordinates"":[-28.724978032269682,38.58260958995184]}"
234,2531,2056,1894,2022,0.008337420411407948,935,408,38.60567547796984,-28.715509955661865,"{""type"":""Point"",""coordinates"":[-28.715545648946243,38.605681103710026]}"
243,3824,3298,3294,3225,0.01119116973131895,1585,795,38.60275666893978,-28.71176577320824,"{""type"":""Point"",""coordinates"":[-28.711723060307655,38.60279220437907]}"
264,2987,2455,2428,2291,0.03455541655421257,1326,665,38.59743524280285,-28.73655635303656,"{""type"":""Point"",""coordinates"":[-28.736511766324508,38.59747146342149]}"
268,2825,2226,2029,2091,0.031271714717149734,928,410,38.60478204984071,-28.70882814402669,"{""type"":""Point"",""coordinates"":[-28.70880858052629,38.60479727989651]}"
284,2855,2402,2261,2257,0.031122557818889618,1171,541,38.59691691130599,-28.73505114970211,"{""type"":""Point"",""coordinates"":[-28.735000627466807,38.596952188930175]}"
321,3221,2693,2626,2514,0.03437680006027222,883,337,38.59289724797668,-28.72657268272895,"{""type"":""Point"",""coordinates"":[-28.726531449074066,38.59292074407536]}"
358,4305,3732,3763,3663,0.00933062843978405,1331,549,38.59270311580675,-28.721401249787153,"{""type"":""Point"",""coordinates"":[-28.721348760217314,38.59274151024113]}"
407,4294,3731,3779,3633,0.013307984918355942,1241,492,38.581846304321864,-28.724356390258116,"{""type"":""Point"",""coordinates"":[-28.724370365967417,38.581829090976804]}"
411,2151,1744,1516,1702,0.012188044376671314,548,245,38.58788515288325,-28.711986585848713,"{""type"":""Point"",""coordinates"":[-28.71199370733519,38.58787951599479]}"
431,4810,4326,4649,4291,0.00406173849478364,2857,1839,38.59075228576662,-28.725373152939262,"{""type"":""Point"",""coordinates"":[-28.7253358193916,38.59073541561798]}"
449,3796,3126,3018,3118,0.0012812300119549036,1673,825,38.59576290803688,-28.733875141285676,"{""type"":""Point"",""coordinates"":[-28.733892437858778,38.595749226748026]}"
453,2137,1664,1417,1588,0.023370234295725822,894,476,38.61263758380621,-28.720040064783,"{""type"":""Point"",""coordinates"":[-28.720063283322624,38.61263210668175]}"
458,972,630,332,624,0.0047846888191998005,178,63,38.61033934544217,-28.673472597061746,"{""type"":""Point"",""coordinates"":[-28.673466076031854,38.61032027585796]}"
459,973,586,327,498,0.08118081092834473,111,52,38.61348271227903,-28.686753518879495,"{""type"":""Point"",""coordinates"":[-28.686712554823814,38.6134532213854]}"
469,1458,1241,1090,1239,8.06451600510627E-4,688,413,38.60773109373746,-28.722793923285796,"{""type"":""Point"",""coordinates"":[-28.722799326647507,38.60769419063459]}"
475,2586,2017,1819,1948,0.017402268946170807,825,365,38.60525088548677,-28.707576052409525,"{""type"":""Point"",""coordinates"":[-28.707628585777766,38.605284168448705]}"
478,3739,3200,3273,3083,0.01862167753279209,1976,1098,38.59463902751223,-28.742804079582253,"{""type"":""Point"",""coordinates"":[-28.74276013285548,38.59466533639608]}"
492,2254,1727,1521,1720,0.002030751435086131,934,565,38.6113545262116,-28.72150243347035,"{""type"":""Point"",""coordinates"":[-28.72145809485633,38.61135705397423]}"
502,3051,2604,2653,2440,0.032513879239559174,1387,760,38.59930131190959,-28.726151999896295,"{""type"":""Point"",""coordinates"":[-28.72612263788361,38.599289447236515]}"
505,3671,2974,2817,2856,0.020240137353539467,1082,478,38.59564192563783,-28.723767894587393,"{""type"":""Point"",""coordinates"":[-28.72371790489809,38.59564964419532]}"
510,2262,1738,1493,1642,0.02840236760675907,751,349,38.6070390672789,-28.708537167305852,"{""type"":""Point"",""coordinates"":[-28.70859279674847,38.607054339738966]}"
533,4922,4437,4785,4382,0.0062365345656871796,2564,1518,38.58990728577869,-28.7215640975512,"{""type"":""Point"",""coordinates"":[-28.721559274827513,38.58990048605763]}"
559,932,565,316,501,0.0600375235080719,94,32,38.61391135882236,-28.67573778853332,"{""type"":""Point"",""coordinates"":[-28.6757907610847,38.61386746521363]}"
564,3445,2805,2583,2521,0.05332332104444504,1233,592,38.5977746533796,-28.744028173923397,"{""type"":""Point"",""coordinates"":[-28.74398434180889,38.59779690988406]}"
572,949,593,347,515,0.07039710879325867,144,83,38.60807182239481,-28.7056906121702,"{""type"":""Point"",""coordinates"":[-28.70567627025788,38.608033024610116]}"
573,2519,2003,1794,1953,0.012639028951525688,878,390,38.60500744134382,-28.705732885813163,"{""type"":""Point"",""coordinates"":[-28.705699186451728,38.60503707408417]}"
591,4663,4086,4104,4043,0.005289703607559204,1172,421,38.58182629939345,-28.713449901880256,"{""type"":""Point"",""coordinates"":[-28.713405902397813,38.58184539938425]}"
606,3477,2870,2789,2667,0.036662451922893524,1027,394,38.59533912636429,-28.74419886781733,"{""type"":""Point"",""coordinates"":[-28.744220269771272,38.59534702693109]}"
616,4071,3461,3505,3402,0.008596823550760746,1391,657,38.58428858614008,-28.741979795710126,"{""type"":""Point"",""coordinates"":[-28.742032111804086,38.584293951680586]}"
618,3555,3065,3057,2997,0.011217419989407063,1512,713,38.594668355160536,-28.734767367370058,"{""type"":""Point"",""coordinates"":[-28.73473922900101,38.59464922139609]}"
636,983,617,383,532,0.07397737354040146,187,78,38.615261142340024,-28.66956708103278,"{""type"":""Point"",""coordinates"":[-28.669566006707953,38.61525779997745]}"
638,3359,2990,3155,2902,0.014935505576431751,1200,559,38.59172452905077,-28.72665940269515,"{""type"":""Point"",""coordinates"":[-28.726658432110042,38.59173671097684]}"
651,3084,2454,2290,2305,0.0313090980052948,839,328,38.594727604132814,-28.72466458752523,"{""type"":""Point"",""coordinates"":[-28.72468760269132,38.59477092961023]}"
696,972,608,366,429,0.17261330783367157,164,64,38.61503833745294,-28.672548111636157,"{""type"":""Point"",""coordinates"":[-28.672499551268825,38.61504622413804]}"
729,2146,1620,1405,1536,0.026615969836711884,629,250,38.60175375480587,-28.724832778161467,"{""type"":""Point"",""coordinates"":[-28.7248414838579,38.601712284332194]}"
736,2587,2287,2306,2256,0.006823685020208359,1714,942,38.59713091140971,-28.73884550336384,"{""type"":""Point"",""coordinates"":[-28.73885415773553,38.59712665296443]}"
738,4329,3788,3879,3702,0.011481976136565208,1543,818,38.580860816279674,-28.73007274233415,"{""type"":""Point"",""coordinates"":[-28.73009231167716,38.580880598185914]}"
744,4853,4370,4543,4313,0.0065645514987409115,1833,798,38.5806769666038,-28.724213624334546,"{""type"":""Point"",""coordinates"":[-28.72419530368472,38.58069597925224]}"
755,3436,2809,2674,2745,0.011523226276040077,1034,505,38.591630220435604,-28.68991606346028,"{""type"":""Point"",""coordinates"":[-28.689949418605288,38.59166994293815]}"
762,4076,3484,3489,3371,0.016484318301081657,1327,564,38.58492767535945,-28.741421215854636,"{""type"":""Point"",""coordinates"":[-28.74143448573144,38.58488625099489]}"
767,963,596,347,544,0.045614033937454224,123,49,38.61484550406333,-28.685981468196353,"{""type"":""Point"",""coordinates"":[-28.686014697129146,38.61487300260029]}"
774,4977,4510,5147,4468,0.00467810221016407,3348,2301,38.599343616216906,-28.723282314568614,"{""type"":""Point"",""coordinates"":[-28.72328396285385,38.59933623740033]}"
780,2445,1886,1712,1754,0.036263737827539444,938,467,38.60235904049803,-28.73265589441984,"{""type"":""Point"",""coordinates"":[-28.73263115393585,38.602372958230745]}"
794,5079,4669,5192,4585,0.009077155962586403,2910,1981,38.589433237158175,-28.72316014491356,"{""type"":""Point"",""coordinates"":[-28.72318144129843,38.589448439352076]}"
800,985,664,381,663,7.535794866271317E-4,214,104,38.61112240611916,-28.687961556440026,"{""type"":""Point"",""coordinates"":[-28.68798169671386,38.611082584084855]}"
804,2758,2260,2243,2186,0.016644174233078957,1264,653,38.60123865201922,-28.74135609016072,"{""type"":""Point"",""coordinates"":[-28.741399539920764,38.601212121573965]}"
806,959,582,338,502,0.07380073517560959,114,53,38.61402153913787,-28.686880991858015,"{""type"":""Point"",""coordinates"":[-28.686846211365694,38.61398993739104]}"
814,928,557,300,351,0.2268722504377365,108,67,38.6159074406046,-28.68106757025018,"{""type"":""Point"",""coordinates"":[-28.681065013078392,38.61592687294408]}"
817,941,571,315,373,0.20974576473236084,183,172,38.615825608301066,-28.680491385600657,"{""type"":""Point"",""coordinates"":[-28.680532744454435,38.615854487045766]}"
832,1982,1485,1254,1477,0.0027008778415620327,830,532,38.61325462727708,-28.72097360460612,"{""type"":""Point"",""coordinates"":[-28.721025495003722,38.61324867514792]}"
833,2663,2156,2049,2119,0.008654970675706863,1001,437,38.60513668616366,-28.715382286721603,"{""type"":""Point"",""coordinates"":[-28.715324623967902,38.605099880648865]}"
835,3925,3365,3338,3201,0.024977155029773712,1413,593,38.60001226531597,-28.714571296320482,"{""type"":""Point"",""coordinates"":[-28.71454597240606,38.600029131997786]}"
837,4370,4007,4260,3997,0.0012493752874433994,1584,839,38.58401097532015,-28.718093972751255,"{""type"":""Point"",""coordinates"":[-28.718137108722594,38.58400261731556]}"
