system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
1,811,504,319,210,0.4117647058823529,121,95,-15.931218181222862,-5.741049141309091,"{""type"":""Point"",""coordinates"":[-5.741054304091934,-15.931237085925007]}"
3,1144,824,655,521,0.22527881040892192,433,354,-15.935917375803951,-5.740832943064796,"{""type"":""Point"",""coordinates"":[-5.740863981901347,-15.935916572279268]}"
15,805,527,385,358,0.19096045197740114,329,232,-15.938587104098199,-5.736855354887032,"{""type"":""Point"",""coordinates"":[-5.736817226887033,-15.938614581767117]}"
16,792,540,397,467,0.0724925547838211,442,281,-15.99073112570864,-5.713007634456994,"{""type"":""Point"",""coordinates"":[-5.713010695752073,-15.99075848309762]}"
17,1794,1469,1256,1333,0.0485367588698864,1029,828,-16.00063954082105,-5.6791520735618635,"{""type"":""Point"",""coordinates"":[-5.6791518844166395,-16.00060462507833]}"
52,1180,1000,964,909,0.0476689375936985,993,906,-15.937565075427484,-5.731987528126081,"{""type"":""Point"",""coordinates"":[-5.731964804942442,-15.93752226763402]}"
71,829,600,439,551,0.04257167503237724,578,386,-15.941585399104248,-5.714025813291137,"{""type"":""Point"",""coordinates"":[-5.7140022779657995,-15.941605583817651]}"
77,813,500,317,202,0.42450142450142453,121,96,-15.93139522225583,-5.7413315721167955,"{""type"":""Point"",""coordinates"":[-5.741323753105011,-15.931405009167596]}"
86,867,658,536,612,0.03622047230601311,691,516,-15.993424472496448,-5.67830887983374,"{""type"":""Point"",""coordinates"":[-5.678285773683458,-15.99345842165413]}"
88,1122,772,582,476,0.23717948717948717,385,323,-15.929655767932417,-5.743174770010646,"{""type"":""Point"",""coordinates"":[-5.743218697482278,-15.929692384114961]}"
92,1087,765,617,453,0.2561576354679803,434,368,-15.932787693077687,-5.738363517330333,"{""type"":""Point"",""coordinates"":[-5.738403254608153,-15.932812629334155]}"
140,851,584,416,334,0.2723311483860016,285,198,-15.934201442997754,-5.733715516327139,"{""type"":""Point"",""coordinates"":[-5.733681294196614,-15.934208291634247]}"
172,933,675,547,589,0.0680379718542099,534,400,-15.994857165553839,-5.708114523672268,"{""type"":""Point"",""coordinates"":[-5.708106802018371,-15.994821776081023]}"
187,1768,1570,1428,1455,0.03801652892561983,1398,1168,-15.93191431119857,-5.736018101194403,"{""type"":""Point"",""coordinates"":[-5.736063866221057,-15.931950321818162]}"
196,817,570,407,435,0.13432836532592773,475,348,-15.99658101362868,-5.68591442620096,"{""type"":""Point"",""coordinates"":[-5.685935129723374,-15.996549684931722]}"
221,788,571,453,548,0.020554065704345703,466,306,-15.943499407100104,-5.683806010224319,"{""type"":""Point"",""coordinates"":[-5.683849341088901,-15.943498093742768]}"
237,1743,1435,1352,1350,0.03052064631956912,1398,1340,-15.929093653664637,-5.737660007513224,"{""type"":""Point"",""coordinates"":[-5.737663766109268,-15.929103015175327]}"
238,899,533,328,229,0.3989501312335958,148,111,-15.937961035759963,-5.743474370038048,"{""type"":""Point"",""coordinates"":[-5.7434692639198355,-15.937933780769699]}"
270,797,522,383,300,0.2700729966163635,296,211,-15.935458555966981,-5.7342926152850495,"{""type"":""Point"",""coordinates"":[-5.73426190670224,-15.935447468496019]}"
278,1149,810,640,518,0.21987951807228914,438,362,-15.934187418835556,-5.7419295634858445,"{""type"":""Point"",""coordinates"":[-5.741884822183019,-15.934151553674155]}"
281,908,603,280,155,0.5910290237467019,81,61,-15.937845725842262,-5.738338821490261,"{""type"":""Point"",""coordinates"":[-5.738312020806063,-15.937845748903772]}"
283,886,683,590,676,0.0051508462104488595,1102,888,-15.94280871928483,-5.7457806412332335,"{""type"":""Point"",""coordinates"":[-5.745772712054787,-15.942842468566136]}"
