system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
1,1622,1342,1235,1169,0.0688968538430904,1232,1182,-15.931218181222862,-5.741049141309091,"{""type"":""Point"",""coordinates"":[-5.741054304091934,-15.931237085925007]}"
17,1307,1065,938,912,0.07738998532295227,952,764,-16.00063954082105,-5.6791520735618635,"{""type"":""Point"",""coordinates"":[-5.6791518844166395,-16.00060462507833]}"
77,1653,1321,1236,1183,0.05511182108626198,1259,1212,-15.93139522225583,-5.7413315721167955,"{""type"":""Point"",""coordinates"":[-5.741323753105011,-15.931405009167596]}"
88,1385,1070,1024,832,0.12513144058885384,1345,1349,-15.929655767932417,-5.743174770010646,"{""type"":""Point"",""coordinates"":[-5.743218697482278,-15.929692384114961]}"
92,1097,749,569,429,0.27164685908319186,362,264,-15.932787693077687,-5.738363517330333,"{""type"":""Point"",""coordinates"":[-5.738403254608153,-15.932812629334155]}"
112,772,532,381,428,0.10833333432674408,339,218,-15.937176860691196,-5.698284185934702,"{""type"":""Point"",""coordinates"":[-5.698261671766585,-15.937189213064284]}"
136,850,623,533,606,0.013832383789122105,542,390,-15.930672871528786,-5.712758897691554,"{""type"":""Point"",""coordinates"":[-5.712718772714718,-15.930663377727381]}"
140,945,759,671,445,0.2607973515987396,381,315,-15.934201442997754,-5.733715516327139,"{""type"":""Point"",""coordinates"":[-5.733681294196614,-15.934208291634247]}"
162,832,629,548,512,0.10254163295030594,1018,918,-15.999312319908665,-5.684176765630358,"{""type"":""Point"",""coordinates"":[-5.684215657269985,-15.99926771989785]}"
167,885,674,528,561,0.09149797570850203,565,415,-15.945503488779591,-5.739843030414555,"{""type"":""Point"",""coordinates"":[-5.739827715953016,-15.945509275526192]}"
187,1256,896,684,538,0.2496513249651325,500,414,-15.93191431119857,-5.736018101194403,"{""type"":""Point"",""coordinates"":[-5.736063866221057,-15.931950321818162]}"
192,772,530,423,370,0.17777778208255768,490,372,-15.933149772434327,-5.731180994735537,"{""type"":""Point"",""coordinates"":[-5.731185384084932,-15.933184753344896]}"
237,1294,1070,1137,698,0.21040723981900453,1268,1463,-15.929093653664637,-5.737660007513224,"{""type"":""Point"",""coordinates"":[-5.737663766109268,-15.929103015175327]}"
257,791,566,447,398,0.17427386343479156,432,312,-15.928967684921115,-5.711895893894036,"{""type"":""Point"",""coordinates"":[-5.711872004122714,-15.929011164019544]}"
270,907,685,618,567,0.09424920380115509,1138,916,-15.935458555966981,-5.7342926152850495,"{""type"":""Point"",""coordinates"":[-5.73426190670224,-15.935447468496019]}"
275,1115,750,521,414,0.2886597812175751,257,188,-15.92985988337752,-5.734216756590811,"{""type"":""Point"",""coordinates"":[-5.734206769712866,-15.929820541925743]}"
281,1401,1192,945,687,0.2687599787120809,964,908,-15.937845725842262,-5.738338821490261,"{""type"":""Point"",""coordinates"":[-5.738312020806063,-15.937845748903772]}"
