system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
17,2047,1894,1970,1746,0.0406593419611454,1928,1524,-27.148267401036225,-109.31718873367558,"{""type"":""Point"",""coordinates"":[-109.31714666772758,-27.148305440718723]}"
104,2030,1765,1726,1753,0.0034110289998352528,1906,1541,-27.14342559539886,-109.31988452015436,"{""type"":""Point"",""coordinates"":[-109.31986417054945,-27.143431620055246]}"
162,1686,1563,1806,1276,0.10109193623065948,1828,1453,-27.1469608504002,-109.32114329602457,"{""type"":""Point"",""coordinates"":[-109.32112249131102,-27.146968759032294]}"
341,2026,1698,1538,1624,0.022275738418102264,1356,955,-27.14769367093586,-109.32204042047863,"{""type"":""Point"",""coordinates"":[-109.32207493072053,-27.147694038381303]}"
395,2087,1859,1840,1850,0.0024265300016850233,1786,1288,-27.144975456847256,-109.32117297468294,"{""type"":""Point"",""coordinates"":[-109.32117420306565,-27.144944067124243]}"
476,1895,1544,1485,1479,0.021501818671822548,1636,1235,-27.145068115456283,-109.32137338041241,"{""type"":""Point"",""coordinates"":[-109.32132415989922,-27.145050509727696]}"
492,2023,1665,1536,1661,0.0012026458280161023,1563,1108,-27.14403458243346,-109.32552550255083,"{""type"":""Point"",""coordinates"":[-109.32553606096468,-27.14403994665094]}"
956,1983,1898,1963,1665,0.065394327044487,1840,1422,-27.148113508631393,-109.31941079652691,"{""type"":""Point"",""coordinates"":[-109.31936471539119,-27.14814557931048]}"
1192,2211,2005,2033,1904,0.025837810710072517,2028,1540,-27.14703298401198,-109.31962876080911,"{""type"":""Point"",""coordinates"":[-109.31960522375942,-27.14707400010609]}"
1283,1815,1612,1665,1493,0.03832527995109558,1788,1367,-27.143301784116638,-109.32462838195424,"{""type"":""Point"",""coordinates"":[-109.32459964532434,-27.143307949347953]}"
1392,2221,1902,1758,1855,0.012509981170296669,1799,1380,-27.147576870320467,-109.3198224178119,"{""type"":""Point"",""coordinates"":[-109.3198531616456,-27.147579825690507]}"
1410,2218,1934,1968,1888,0.012035583145916462,1963,1563,-27.1482601410324,-109.31658345373705,"{""type"":""Point"",""coordinates"":[-109.31657369774051,-27.14829627072261]}"
1530,1848,1390,1319,1327,0.023187339305877686,1296,959,-27.147323037852708,-109.32123877894429,"{""type"":""Point"",""coordinates"":[-109.32126073046923,-27.147314647813282]}"
1609,2366,2149,2175,2135,0.003267973894253373,2070,1573,-27.14836515579802,-109.32536003510496,"{""type"":""Point"",""coordinates"":[-109.32537459287099,-27.148388372947036]}"
1661,2230,1879,1655,1856,0.006157965399324894,1565,1040,-27.148065505336383,-109.32294294762083,"{""type"":""Point"",""coordinates"":[-109.32292586963943,-27.148087007179985]}"
1914,1975,1436,1170,1403,0.011623810976743698,1209,974,-27.147791152476675,-109.32264435112472,"{""type"":""Point"",""coordinates"":[-109.32266635220235,-27.14781373860205]}"
1952,2161,1913,1894,1862,0.013509933836758137,1905,1439,-27.146756208044817,-109.31912841790081,"{""type"":""Point"",""coordinates"":[-109.31909378241775,-27.14672640977018]}"
