system:index,B2,B3,B4,B8,NDWI,SWIR1,SWIR2,latitude,longitude,.geo
7,1473,946,560,435,0.37002172338884864,360,261,-27.14059834259688,-109.30993858162665,"{""type"":""Point"",""coordinates"":[-109.30998791182267,-27.140563222185147]}"
13,1339,1000,824,724,0.16009280742459397,732,581,-27.143165725756678,-109.32079645012085,"{""type"":""Point"",""coordinates"":[-109.32076338633622,-27.143158867904056]}"
17,1143,715,517,384,0.30118289353958144,340,274,-27.148267401036225,-109.31718873367558,"{""type"":""Point"",""coordinates"":[-109.31714666772694,-27.148305440708345]}"
24,1205,765,550,478,0.23089300080450523,333,223,-27.146168769998503,-109.31530315246245,"{""type"":""Point"",""coordinates"":[-109.31533816032828,-27.14617511780452]}"
63,1163,724,507,396,0.29285714285714287,287,198,-27.14756782673746,-109.31154896116969,"{""type"":""Point"",""coordinates"":[-109.31149989726781,-27.147590712059745]}"
66,1199,864,584,459,0.30612244897959184,408,296,-27.14246788867168,-109.32282474378992,"{""type"":""Point"",""coordinates"":[-109.3228222635591,-27.14247797853172]}"
104,1127,736,535,389,0.30844444444444447,377,296,-27.14342559539886,-109.31988452015436,"{""type"":""Point"",""coordinates"":[-109.31986417055053,-27.14343162005694]}"
132,1269,808,539,416,0.3202614379084967,341,244,-27.142899357780117,-109.31363700719837,"{""type"":""Point"",""coordinates"":[-109.31358760573295,-27.142854965024508]}"
156,1127,720,538,407,0.2777284826974268,327,246,-27.147881397682994,-109.32264300318003,"{""type"":""Point"",""coordinates"":[-109.32265497240098,-27.147889534223825]}"
158,3243,2902,2890,2843,0.010269799825935596,1534,725,-27.131243218413395,-109.31260136137716,"{""type"":""Point"",""coordinates"":[-109.31260396056139,-27.1312569545238]}"
162,1152,755,582,437,0.26677852348993286,336,258,-27.1469608504002,-109.32114329602457,"{""type"":""Point"",""coordinates"":[-109.32112249131102,-27.146968759032294]}"
185,1167,850,607,445,0.31274130940437317,410,311,-27.146604740854077,-109.32911947332875,"{""type"":""Point"",""coordinates"":[-109.3291668617497,-27.146563468777334]}"
189,1285,924,638,489,0.3078556263269639,397,290,-27.145129560132947,-109.32651813360745,"{""type"":""Point"",""coordinates"":[-109.32648958500793,-27.145118804625316]}"
196,1153,758,584,446,0.2591362126245847,365,277,-27.144239009218715,-109.31997324728037,"{""type"":""Point"",""coordinates"":[-109.31994428726502,-27.144250292226808]}"
199,749,492,326,407,0.09454949944382647,331,159,-27.124835123831364,-109.32772826189003,"{""type"":""Point"",""coordinates"":[-109.32773127483132,-27.124825581801332]}"
201,3447,3107,3098,3090,0.0027432627975940704,2082,1132,-27.135638465687244,-109.35591689566863,"{""type"":""Point"",""coordinates"":[-109.35595984260823,-27.13564051446921]}"
268,1182,1332,1819,1267,0.02500961907207966,1845,1513,-27.13749113758324,-109.32935592203454,"{""type"":""Point"",""coordinates"":[-109.3293161107376,-27.13747913075467]}"
276,2810,2845,3255,2841,7.034822370735139E-4,3113,2398,-27.13391505664619,-109.3246674735432,"{""type"":""Point"",""coordinates"":[-109.32463036376294,-27.133932130859385]}"
341,1191,759,574,467,0.23817292006525284,341,243,-27.14769367093586,-109.32204042047863,"{""type"":""Point"",""coordinates"":[-109.32207493072053,-27.147694038381303]}"
353,1331,1032,624,416,0.425414364640884,374,255,-27.14171576726742,-109.32031366432344,"{""type"":""Point"",""coordinates"":[-109.32029992109841,-27.141705028112472]}"
360,1144,746,554,398,0.3041958041958042,354,269,-27.14548915201203,-109.31884469433969,"{""type"":""Point"",""coordinates"":[-109.31882844870661,-27.145503051145454]}"
361,1179,852,570,447,0.3117782771587372,386,275,-27.145874367141186,-109.32842406525273,"{""type"":""Point"",""coordinates"":[-109.32845261514234,-27.145905816231984]}"
386,3705,3265,3239,3206,0.009117601439356804,1816,899,-27.132125548742803,-109.33357194377946,"{""type"":""Point"",""coordinates"":[-109.33360104738927,-27.132168139575192]}"
395,1302,823,591,491,0.2526636225266362,377,282,-27.144975456847256,-109.32117297468294,"{""type"":""Point"",""coordinates"":[-109.32117420306565,-27.144944067124243]}"
425,1222,798,558,440,0.28917609046849757,357,274,-27.14391627992124,-109.3156396221432,"{""type"":""Point"",""coordinates"":[-109.31561109241598,-27.143874415272197]}"
430,3148,2996,3226,2973,0.0038532417490366897,2763,1950,-27.13454773656829,-109.31719248272913,"{""type"":""Point"",""coordinates"":[-109.31720066536131,-27.134592706909174]}"
453,1209,876,613,519,0.25591397285461426,437,315,-27.14533049081518,-109.32823036836675,"{""type"":""Point"",""coordinates"":[-109.32818533612334,-27.14531517948241]}"
476,1262,797,566,419,0.31085526315789475,363,272,-27.145068115456283,-109.32137338041241,"{""type"":""Point"",""coordinates"":[-109.32132415989922,-27.145050509727696]}"
492,1235,919,583,505,0.2907303370786517,433,333,-27.14403458243346,-109.32552550255083,"{""type"":""Point"",""coordinates"":[-109.32553606096708,-27.144039946657557]}"
566,1078,658,403,294,0.38235294117647056,230,170,-27.144569108592965,-109.30987883537136,"{""type"":""Point"",""coordinates"":[-109.30986216022607,-27.14452555979242]}"
650,1185,934,589,390,0.4108761329305136,318,236,-27.138914035004493,-109.31248615951434,"{""type"":""Point"",""coordinates"":[-109.31253516348993,-27.138882370119646]}"
665,3502,3578,3849,3351,0.03276086015298023,2242,1221,-27.129739338926093,-109.31514597604674,"{""type"":""Point"",""coordinates"":[-109.3151116900763,-27.129708036561418]}"
698,2127,1757,1659,1708,0.014141414141414142,1176,633,-27.13710428645976,-109.31210979101806,"{""type"":""Point"",""coordinates"":[-109.31208128105504,-27.137105910276887]}"
717,1209,755,538,443,0.2604340567612688,318,255,-27.145060384373117,-109.31320098019857,"{""type"":""Point"",""coordinates"":[-109.3131627378139,-27.14501488400769]}"
731,1123,786,551,455,0.26672038678485094,381,278,-27.143243897451708,-109.31978634431721,"{""type"":""Point"",""coordinates"":[-109.3197900553557,-27.143275539203177]}"
737,1376,796,522,407,0.3233582709891937,308,242,-27.14251776225534,-109.31192755807682,"{""type"":""Point"",""coordinates"":[-109.31189976250542,-27.142490764456827]}"
788,1151,855,510,421,0.3401253918495298,326,246,-27.140477284996457,-109.31488406127987,"{""type"":""Point"",""coordinates"":[-109.31488635724523,-27.140445559030034]}"
792,3198,2805,2759,2636,0.03106046682595111,1261,569,-27.128479538484306,-109.31546750269791,"{""type"":""Point"",""coordinates"":[-109.31541943792318,-27.12850468313351]}"
798,2659,2258,2136,2155,0.023340131429866306,1191,687,-27.129400373847382,-109.32453301445955,"{""type"":""Point"",""coordinates"":[-109.3245632310018,-27.129406038465202]}"
832,1148,857,622,435,0.32662537693977356,402,298,-27.14595980559753,-109.32801920802268,"{""type"":""Point"",""coordinates"":[-109.32802930101548,-27.14593189297595]}"
918,1254,811,596,441,0.2955271565495208,380,277,-27.144781160658663,-109.31249890968319,"{""type"":""Point"",""coordinates"":[-109.31245302920888,-27.144811641506777]}"
956,1194,701,512,399,0.27454545454545454,306,246,-27.148113508631393,-109.31941079652691,"{""type"":""Point"",""coordinates"":[-109.31936471543833,-27.14814557932027]}"
966,1252,1024,730,501,0.34295081967213115,415,284,-27.140807278417935,-109.31982279131245,"{""type"":""Point"",""coordinates"":[-109.31984947279935,-27.140839314075823]}"
975,1254,756,547,398,0.31022530329289427,313,248,-27.143322683671588,-109.31131009993297,"{""type"":""Point"",""coordinates"":[-109.31131263069884,-27.143298995369218]}"
1001,1189,783,559,433,0.2878289473684211,344,255,-27.143451733224065,-109.31453675738744,"{""type"":""Point"",""coordinates"":[-109.31458362604062,-27.143437392232407]}"
1067,908,656,522,588,0.05466237942122187,599,356,-27.137883176829046,-109.31683985892515,"{""type"":""Point"",""coordinates"":[-109.31679898418513,-27.137842141387505]}"
1101,1262,933,682,528,0.2772074043750763,442,337,-27.147157021545716,-109.33001933401435,"{""type"":""Point"",""coordinates"":[-109.32997726003425,-27.14715627826458]}"
1129,1142,734,542,443,0.24723874256584538,339,245,-27.148093215879996,-109.32526319218164,"{""type"":""Point"",""coordinates"":[-109.32528048959348,-27.148055853933222]}"
1140,777,510,331,406,0.11353711783885956,339,169,-27.12439470327258,-109.32864270679956,"{""type"":""Point"",""coordinates"":[-109.32866106080543,-27.12435238044826]}"
1144,1354,1024,820,773,0.13967723984418476,826,629,-27.143175379291943,-109.32160345524161,"{""type"":""Point"",""coordinates"":[-109.32155726847394,-27.14316950350144]}"
1192,1133,734,570,407,0.28659070990359337,334,265,-27.14703298401198,-109.31962876080911,"{""type"":""Point"",""coordinates"":[-109.31960522375942,-27.14707400010609]}"
1223,1221,910,597,460,0.32846716046333313,406,304,-27.146891086303913,-109.33042687770678,"{""type"":""Point"",""coordinates"":[-109.33046302954621,-27.14689999044088]}"
1238,1216,741,514,419,0.2775862068965517,334,254,-27.1468454259017,-109.32659346284936,"{""type"":""Point"",""coordinates"":[-109.32661953603375,-27.146848214582867]}"
1242,782,529,344,498,0.030185004696249962,434,197,-27.124593195520536,-109.33015291400316,"{""type"":""Point"",""coordinates"":[-109.33017825577268,-27.12455714204769]}"
1258,789,524,350,461,0.06395939086294417,360,173,-27.12113259660117,-109.32001604262625,"{""type"":""Point"",""coordinates"":[-109.31998005744128,-27.12112734665202]}"
1276,2977,2558,2588,2352,0.04195519348268839,1388,799,-27.13673117385346,-109.31110652043029,"{""type"":""Point"",""coordinates"":[-109.31109750481725,-27.136741267146853]}"
1283,1153,848,568,497,0.26096654275092934,390,301,-27.143301784116638,-109.32462838195424,"{""type"":""Point"",""coordinates"":[-109.3245996453256,-27.143307949350802]}"
1287,1261,794,564,458,0.268370607028754,342,238,-27.144246968581463,-109.31311230207517,"{""type"":""Point"",""coordinates"":[-109.31308603525697,-27.144247271769085]}"
